name,color 
David Delainey,#AFEEEE 
Jeff Skilling,#009933 
John Lavorato,#20D1D4 
Kenneth Lay,#20D1D4 
Andrew Lewis,#377EB8 
Geoff Storey,#D697DB 
Jonathan Mckay,#20D1D4 
Keith Holst,#DEB887 
Kevin Hyatt,#20D1D4 
Larry May,#439571 
Matt Motley,#FF7F00 
Mike Maggi,#E41A1C 
Robert Badeer,#377EB8 
Robert Benson,#4682B4 
Sandra Brawner,#4682B4 
Sean Crandall,#AFEEEE 
Carol Clair,#DEB887 
James Derrick,#377EB8 
Mary Hain,#D697DB 
Craig Dean,#E41A1C 
Diana Scholtes,#4682B4 
Don Baughman,#E41A1C 
Eric Bass,#4682B4 
Jim Schwieger,#D697DB 
Joe Quenet,#439571 
Kevin Ruscitti,#FF7F00 
Mark Guzman,#4682B4 
Mike Swerzbin,#F08080 
Ryan Slinger,#377EB8 
Tori Kuykendall,#FF7F00 
Andy Zipper,#D697DB 
Barry Tycholiz,#AFEEEE 
Drew Fossum,#D697DB 
Fletcher Sturm,#009933 
Harry Arora,#DEB887 
Hunter Shively,#AFEEEE 
James Steffes,#E41A1C 
Jane Tholt,#FF7F00 
Joe Stepenovitch,#DEB887 
John Arnold,#E41A1C 
Kevin Presto,#D697DB 
Richard Sanders,#FFFF20FF 
Richard Shapiro,#439571 
Rod Hayslett,#E41A1C 
Scott Neal,#E41A1C 
Shelley Corman,#F08080 
Steven Kean,#F08080 
Thomas Martin,#D697DB